	TCGA.P7.A5NY.01A	TCGA.QR.A705.01A	TCGA.QR.A6H3.01A	TCGA.QR.A706.01A	TCGA.QR.A6GW.01A	TCGA.PR.A5PG.01A	TCGA.PR.A5PF.01A	TCGA.QR.A6GU.01A	TCGA.QR.A6H2.01A	TCGA.QR.A6GX.01A	TCGA.QR.A70E.01A	TCGA.QR.A703.01A	TCGA.P8.A6RY.01A	TCGA.QR.A6H0.01A	TCGA.QR.A70I.01A
PIGR	0.01	-0.423415783	-0.552788293	-1.226744559	0.783673003	0.01	-1.051830708	0.01	0.01	-0.457887142	-1.931629675	-0.272166488	0.01	0.01	0.01
IL20	-0.01145445	0.01	0.01	0.01	-2.743102486	0.01	-1.993578412	-2.178522016	0.331933327	0.01	-1.873591762	-2.213914191	0.01	0.01	0.01
IL10	-3.316771478	-0.500534218	0.370110345	0.603188022	-0.29337511	-1.584431188	0.01	-0.728980856	-1.125362682	-0.950056852	-1.686868084	1.738191648	-1.134572645	-2.63631298	-0.508241707
PM20D1	-1.082615357	-5.374934105	-3.919399069	0.143786858	-3.582861057	0.68066107	-2.096473968	-6.188292635	-0.35592779	-0.602083621	-1.795798649	-1.638744929	0.336768459	0.01	-1.126348332
KLHDC8A	-0.830525952	-1.07914039	0.813421268	0.829421777	-0.32345243	-0.568303891	3.392018063	-1.398734897	1.529973298	-1.070091463	-1.632272131	0.245326271	3.703712271	0.888017267	-1.827089124
CNTN2	-1.575768012	-1.270572927	3.082280737	0.143503375	5.132995083	2.795270695	1.744909907	-1.013590278	4.029443449	-1.10339123	1.023346969	1.158688683	-1.111042661	2.107744334	-3.770142117
REN	0.01	1.77213573	0.01	0.01	-2.190715529	0.01	7.780383958	0.01	2.147339195	0.01	0.01	4.292642807	0.01	0.01	0.01
PRELP	0.572866327	1.024651404	-0.38759139	2.459280532	0.639051579	-2.443486435	0.351475429	-0.008341106	-0.2823769	1.165303578	-2.223187195	2.869563183	-1.307650527	-0.311234259	-0.782071612
BTG2	-0.969802586	0.401704784	-2.810623104	-0.927664657	2.799178092	-1.715977605	-0.978176538	-1.692618695	1.574764927	-0.110593777	-2.348093436	0.700648792	-0.84580877	-1.830743374	1.007012016
CHIT1	-0.137500158	1.456256295	-1.258028474	-0.346934568	-1.506594964	-0.627681366	0.24292911	-0.357140283	2.416422261	5.509266236	-1.052050275	0.344521425	-1.347636097	-0.679509907	-0.721401519
CHI3L1	1.990384496	-0.322774768	0.13283563	-2.126028182	1.299459521	-2.406793815	-0.951114331	0.01	-0.947507446	-1.357170765	0.01	-0.58648761	-1.541679538	0.01	0.01
ADORA1	0.606503905	-3.251935989	-1.381290657	-1.363218571	-1.264085599	3.091063921	4.135206167	-5.18081365	-1.744286093	-1.560568245	-1.290731365	-2.443554514	-0.228850582	1.636326581	-3.130012525
PPFIA4	1.246557373	-0.564559241	-0.164983143	3.669791194	0.307740736	-0.895105997	-0.192936293	-3.806813419	0.861267442	1.589116582	1.797880742	3.84221544	2.281928605	1.14476393	0.628373667
PTPN7	-2.65921794	-0.562964102	-0.387460236	-0.131649496	0.238570449	-0.979438646	-1.956860577	-1.656471951	0.010181696	-2.225441554	-2.699272953	0.144704594	-1.547478413	0.480553338	-1.304485256
GPR37L1	2.065572645	-0.160582492	4.049067366	0.773224802	-3.345760888	-1.244489724	-2.596302099	-1.906872901	-0.177701292	-1.063785924	1.167643649	1.929291209	-0.771884628	3.92967809	-2.271084783
LMOD1	-0.151920555	-1.084170996	0.851605617	1.323862874	-0.624729602	-0.877735607	-1.807495499	0.933213287	-1.487891302	-0.320487707	-1.395214571	0.446674821	-0.76488734	1.510539816	0.216717514
LAD1	-2.480223267	0.01	0.01	-0.467145596	-1.041887326	-1.748042735	2.955551999	-1.477306856	0.01	0.01	0.01	0.07226347	0.01	0.01	-1.841770037
TNNT2	-0.260696049	-1.474283686	-2.188609672	1.512635125	-3.115128509	0.787583171	5.420901978	0.01	0.01	1.035584838	-1.397603935	1.395810045	4.347477249	-5.195012389	-5.237017657
PKP1	0.074444121	0.01	0.246671703	0.719710934	3.330431425	-1.707877932	6.192963667	0.799663892	-3.056083422	-2.88078424	2.210146129	2.059800459	2.131049977	0.47726215	-4.609097092
LHX9	0.760704357	0.01	0.01	0.76211763	-3.766714	-0.949266459	-5.017287852	3.608240484	-3.428757202	1.824550729	0.01	-5.237623632	0.01	0.01	1.077304757
CRB1	-1.994983872	0.273695228	-0.556095738	-0.770469922	0.282923691	-2.051209872	-5.055107242	-1.43279052	-0.466576592	0.01	-0.805733442	2.643395539	0.813703352	0.137886374	1.241118339
KCNT2	-2.265993122	2.993108726	0.778366819	0.677744761	1.986151672	-3.211823035	-4.078199454	2.941328423	0.47995425	-0.484284832	1.790082754	3.19729498	-0.498898136	2.699759847	0.927124076
RGS1	-3.783840359	0.789918944	-1.829931516	1.12377244	1.919084458	-1.159445415	-1.955140305	-0.188000737	0.092831216	1.035573854	-2.610408657	1.67598785	-1.294524284	-3.776679298	1.344365169
PLA2G4A	-0.405948102	-0.072876475	-0.107068431	2.271866892	-1.209658067	-2.294279243	-5.160671637	0.863737904	-3.349759633	0.444468072	-1.233230526	1.061911119	-0.943938309	0.644768141	2.825338946
PTGS2	-0.014179203	1.480049848	-1.049836729	1.856501138	1.140009962	-6.64838844	-2.870780861	-1.248467923	-1.545287716	-0.449048709	-1.750687016	2.237981972	-1.975969363	-1.342598859	1.579954067
PRG4	-1.862668081	-0.234274288	4.479993759	-1.124094352	1.536479244	-3.446586134	-1.378152032	0.17515084	2.735283034	-0.575766379	-0.830943322	-0.02749226	-0.574696273	-1.449878707	-0.741143567
LAMC2	-2.831844442	-0.015758715	-2.145074703	-1.011563327	1.098307653	2.050090025	2.238514083	2.148118298	0.059884789	-2.050173553	-0.617139824	-0.864486829	0.087193141	-0.692117127	-1.023447363
RGS8	-1.233566698	0.01	0.01	1.101412768	-1.795230757	0.01	0.01	0.01	0.01	0.01	0.01	0.318920038	0.01	-1.5531082	-0.594942988
RGS16	0.495692242	-1.952531258	-2.031108716	0.098277722	1.661306006	-1.651315773	0.115218892	-4.131589154	2.307282395	-1.718576852	-2.950979395	0.812485834	-0.527488468	-2.075477254	-0.307507117
CAC.011E	-0.50849502	1.820471193	0.405715793	3.508893626	-0.496948627	-3.811881792	3.899159028	-0.005321288	-2.867346208	0.869849298	1.216618289	0.423310353	1.25468324	1.171849866	0.859940749
TDRD5	-3.867461565	1.649206718	-2.180559134	-1.269465227	0.01	0.01	1.712704778	3.40214163	4.05188413	0.01	-0.559507704	2.144432113	3.774171544	0.01	-1.643932179
ANGPTL1	1.250589591	0.372160899	-0.304677173	2.35449768	-1.08364597	0.084716246	-1.334208942	0.895785627	-1.330640793	0.871135656	-0.062112003	-0.724486688	-1.772841227	0.310351234	0.372866755
TNR	2.803915608	-2.094174296	-4.130428376	-2.63430153	0.878528919	3.309491792	0.599378242	-1.56654325	0.01	0.912849973	-1.555142878	-5.849765355	0.779950396	-5.136913895	-4.85677188
MYOC	0.890267634	-1.685850674	-0.815223184	0.01	8.594516342	-1.769785325	6.924127568	0.01	2.333155641	-1.720322033	-3.194064566	-1.534601379	0.01	-2.821667117	-1.863501904
FMO1	-2.576755901	0.01	2.569548174	0.01	0.01	-1.844575369	0.196066615	0.01	-1.385405211	-0.209989819	-2.268694852	-1.609231665	0.605442932	2.351595247	0.01
FMO2	2.553246333	-0.283306992	-1.653665403	-0.360636226	1.260513723	0.01	-0.057530526	0.352593328	-1.701650718	-5.018165897	-4.907088847	1.854030249	0.154821711	0.799311199	0.926089497
FMO3	0.32162112	-2.367754236	-1.845026195	0.260142562	1.750880627	-0.316497554	-2.996131974	-1.779060714	-1.442353879	-4.887660341	-1.955462021	1.572359174	-0.779379319	0.123714338	-0.297453604
PRRX1	-0.545880246	1.646350578	0.988418408	2.013893142	-1.215476493	0.435011752	-1.427585813	0.081969704	-1.245669962	0.137578906	-1.242530331	0.677785408	-0.962341038	3.851854942	0.382564096
SELE	-0.518778892	0.766865765	-0.766875853	1.011014553	-2.295437231	-5.8090315	-2.768389515	0.953457414	1.173776405	-0.031517122	-0.709700875	0.616110734	0.225954175	2.377609531	2.640414706
F5	0.034774049	4.235592042	-2.770247388	-1.636736011	0.595991894	-3.724809529	0.01	2.488182041	-0.806282992	2.401437343	-3.149195958	0.832275368	1.566352628	0.130155115	-1.648620048
DPT	1.011663173	0.154629826	0.488249082	0	-2.625274797	-6.138869066	-5.683189582	-0.69831119	1.11479234	-1.919355319	-2.563095737	3.425124659	-1.951879323	-0.061350666	-0.647491798
XCL2	-1.90891661	-0.092717031	-1.222014179	-0.895838939	-1.470580669	-0.17657632	0.01	-1.906000199	0.282492186	0.01	-0.600962749	0.86592377	-0.311709517	0.093403742	0.01
RXRG	-0.402689625	-1.638624151	3.19713225	1.563516924	-0.933955308	-3.810008384	3.005289137	-4.954518114	-3.350870888	-2.06010106	-0.79141754	-2.404889659	2.184213955	3.022278924	2.047571105
LMX1A	0.963611194	0.457829599	0.01	0.01	0.01	0.01	7.766116563	-1.355453569	-1.16701929	0.01	0.01	0.609154256	-0.761075171	0.643950372	0.01
RGS4	0.40784479	1.708125377	0.278355622	1.745005054	0.690614152	-0.381363232	-0.180273405	2.597373611	-1.260312678	2.325268523	1.625885096	2.644603843	0.60072947	1.352687792	2.134073094
DDR2	2.559817965	-3.219480529	-3.67076206	1.644129764	-1.749264407	-1.339901247	-2.469341464	1.037511233	-0.016450174	0.02406132	-2.242314492	-2.805159159	0.020977023	-1.092243677	0.895682447
UHMK1	2.385592012	-2.565333116	-5.542685264	-0.983826087	-0.209170171	1.578510434	1.165796087	1.454148703	-3.074652434	1.836694291	-1.502066979	-3.496519691	0.50518829	-4.549145905	1.268264518
FCGR2C	-0.564089613	-0.747933562	-2.68461793	-0.358459127	0.794832113	0.884361048	-3.183660346	-1.198767238	-3.180053461	-1.589755372	-2.256226891	-1.082095175	0.01	-0.784215428	-1.925566082
MPZ	-0.945581713	-0.177520487	3.072578945	3.119672969	-1.868102278	-1.54415694	-2.559258943	-0.703646575	-1.38118073	-2.885165091	0.901201725	2.093925721	-1.606723547	4.036149546	3.10316916
PCP4L1	-0.216875953	4.513536702	1.469919457	4.275579456	-0.157054952	0.814922992	4.738056389	-1.329606707	0.01	-2.135593748	2.560475578	6.769490934	-0.735198496	4.728804385	2.579177985
ADAMTS4	-0.635105974	0.498611333	-0.180129467	1.544251565	1.972753058	-0.042798452	-2.737546234	0.060068806	1.451898544	1.460036392	-1.675033059	2.038179588	0.69054147	0.10797796	4.511510812
LY9	-1.477147985	-1.24599937	-0.790388972	-0.464158777	0.283132042	-1.007962514	0.295586068	-3.059282538	0.451149564	-1.695432867	-1.754245088	-0.287358568	0.34240066	0.940137964	-0.838669562
CD84	-0.15623163	-3.732337301	-2.861709811	-0.143223409	-0.586612161	0.271172095	-1.360752226	-0.086360528	-3.357145341	-0.596917963	-2.070721469	0.062746469	0.633586591	-2.283246443	1.581834259
SLAMF6	-1.405523918	-0.967902548	-1.097247741	-1.771065829	-0.580154346	-0.466846359	0.541235749	-1.781306737	0.172850269	-1.739330669	-2.4761419	0.109377882	-0.923846461	1.355730764	-2.882515908
VANGL2	1.26597995	0.478647204	-0.891077318	1.230624708	0.990706867	0.937129087	-0.354746598	-3.99384422	-2.977004187	-0.370169551	0.594420747	1.74306637	0.030260266	-0.453197754	0.198398797
ATP1A2	-0.809600114	-1.45684447	2.2763002	3.348449799	-1.403299291	-2.015289251	0.305013507	1.909354917	-2.171841313	0.483899493	0.010076137	0.30824757	0.537163753	2.950262497	2.09756488
KCNJ9	-1.229450647	6.006207024	6.228145084	-2.538538732	4.115763744	0.01	-2.363624881	2.73673186	0.01	2.184485117	6.611332023	2.73794029	0.01	7.674861942	0.087096196
IGSF9	-1.526371895	3.097204138	0.01	0.486705776	-0.502942887	0.01	-1.33851188	0.01	-0.334904995	0.01	2.482013438	2.026092221	4.158328998	-1.845913397	0.01
CADM3	-1.055892568	0.915110079	0.732254518	3.30590847	-0.900760214	-3.97045059	0.146907703	-3.623414341	-0.392534347	1.17868541	0.828233142	3.101723623	0.174588375	1.377193639	1.481242996
GREM2	-0.431585413	3.100771587	1.255205865	-3.226069996	0.01	0.01	1.196759105	3.287361441	-1.047607364	0.449636851	0.0689377	-3.271491925	-0.641765209	0.348288773	1.528866214
KMO	-2.146197549	0.511870731	-0.759026137	-0.956956563	-0.27359931	-0.050834244	-1.359133977	-2.59755794	-2.223743104	-2.838483576	0.01	0.942178195	0.474174175	0.597585243	0.926556074
PLD5	-1.245648868	0.123041517	0.534261285	0.718434829	-2.129246508	-1.420309882	1.735676057	0.309641479	-0.961172386	2.462050863	0.062227076	-4.185085999	-0.233439959	-0.472193137	0.977840055
KIF26B	1.325829719	-1.514637655	-2.076952304	-1.141945627	0.956307082	1.055959755	-0.090547402	0.334919936	-3.434883031	0.767483951	-1.254238701	1.585653216	2.038966334	-2.013013365	0.203897557
SUSD4	1.904958104	-1.045384723	-3.049206563	-0.074353446	-2.224399216	1.1844165	0.946825237	0.259959315	0.78745857	-1.497062986	-0.907707875	0.348284323	-1.277545757	-2.583174273	0.6560674
SLC30A10	0.01	0.01	2.824825996	0.01	0.01	0.01	4.418915036	0.01	0.01	0.01	1.123982304	-1.801409822	-1.171639249	3.159408375	-1.130310347
ESRRG	2.559520445	-1.118846061	-3.248195807	-2.297512887	1.503359536	2.065594996	-1.401447367	-0.186300327	-0.72869545	-1.15329934	-2.2120861	0.622392236	-0.60086518	-2.195758318	-1.48912054
USH2A	5.698480171	-2.671478317	-4.385763087	-2.059587846	4.20023586	4.210399832	-2.07745058	-2.484874895	-3.296274852	-2.968995589	-4.179784887	0.024118469	-4.475370709	-4.392207019	-2.434084425
KCNK2	6.455440028	-0.663594298	0.792043578	-2.466847712	-3.041457936	0.01	1.614941201	-1.477009902	-2.288443187	-2.697990296	-0.001903104	0.487696429	-1.882499068	2.873050998	-0.519276166
PROX1	1.822135487	-3.325486615	-5.656473534	-0.715564601	-0.310960882	1.886428334	0.748989452	1.176749353	-2.692484617	2.127728039	-2.312929603	-2.340221329	-0.045663793	-5.399905289	1.444999266
PTPN14	-0.449590985	-1.658959384	-0.688786129	1.300377407	-1.522184221	-0.192673371	1.591803049	1.196002473	-3.091137387	-0.59388288	-2.804655411	-0.614603109	0.524145095	0.04172876	2.201539413
ATF3	-3.365604179	0.320670209	0.918843984	0.424403974	3.066622251	-2.324865828	-1.838801356	-1.396691328	2.381356582	0.582834176	-2.301777388	0.154583088	-1.523024498	0.741673794	3.506699014
CAMK1G	-3.383320876	0.463209714	0.908766882	1.032192436	2.306196861	-1.128844084	0.144688544	2.331625709	0.777010318	-4.455757936	0.893533087	1.02387517	0.994652278	-5.935657135	0.135245875
CRLF2	-1.931937648	0.01	-0.245035217	0.081140023	0.01	1.607734742	0.01	-0.929021237	-0.740586958	0.01	0.01	0.01	0.01	-1.25147915	-1.293484419
SPP1	-2.216847935	0.314639448	0.889181135	1.089617431	2.277854938	-2.052881463	-1.510475457	-1.985012376	0.421072994	-3.033589648	-1.083514207	1.744698884	-1.019141836	0.529088195	2.195085597
IBSP	0.01	-0.693842975	0.01	1.23996244	0.150744624	-3.362849644	-1.907170161	3.814677505	1.344321424	-3.313226595	0.01	-0.320189796	0.672131158	0.01	-1.456406465
DMP1	0.01	0.01	1.151184096	3.140342598	0.01	-0.165943469	-2.517755844	2.426485188	-1.929225194	-0.601915057	0.01	-2.738091624	-3.108321051	-2.025240163	2.424830641
SLC10A6	-0.408920657	-1.914626889	-0.044040615	4.896876293	-2.292565889	-1.41365229	0.626883187	2.519844511	-0.954511165	-0.141787432	0.746965122	-0.178460334	1.325776753	3.307068282	4.38342658
HPSE	-0.10068258	-0.031763157	-0.646541637	1.445193587	1.068494385	1.14306883	-2.467479175	0.254370697	-1.141990679	-0.173131515	1.510591969	-3.687814955	0.334214564	-0.068034257	1.506816829
PRKG2	-1.364001733	-3.355157539	-3.484530049	-0.070899703	5.020214619	-4.439251949	4.767960242	0.01	0.01	0.01	-4.863371431	0.925351506	0.747737795	0.01	-0.073408146
BMP3	1.929398174	-1.869101723	-1.998474233	0.01	1.21247992	0.01	-0.912554148	-0.097586042	0.01	-1.318610582	0.01	0.867087452	1.496822169	-1.005000968	-0.461847277
CXCL13	-3.308444977	-0.170302231	3.211318545	0.7920878	-1.28508125	-3.576264445	-0.120584962	3.802896085	0.583416946	-0.941730351	-1.193151507	2.56594271	0.01	1.956934621	0.500065852
ART3	-1.9470067	-0.545952191	3.889479973	4.635784198	0.01	0.01	-1.759279376	-0.136981575	0.01	0.01	-1.317235998	2.775247213	0.01	5.041616344	5.238350519
CXCL11	-3.917397329	-0.101160069	-0.645587352	-0.582417863	-1.157054952	-0.015149788	3.628003325	0.085419756	1.974464594	-2.135593748	-3.60933628	0.01	0.01	2.048420926	-0.693867942
CXCL10	-1.384248779	0.197428095	-0.697458937	0.394276287	-1.267822623	-0.330079181	2.579623703	-0.381517932	1.807097832	-0.224048814	-2.228365718	-1.038313416	-0.301656882	0.729046576	0.217738842
CXCL9	-3.87432134	1.111762014	-1.017587732	-0.435054436	-0.763534238	0.349784399	-0.401137401	-0.199144611	-0.59549896	-0.392174074	-1.612240974	0	-0.633292826	2.375884583	0.571563548
BTC	-0.781705703	0.549021368	0.01	-3.576190286	-1.565772724	0.01	-1.816313935	2.195038542	-0.397698602	0	1.718810711	-3.621612215	1.65195841	0.614840803	1.634421348
CXCL1	-3.468427439	-1.652227861	-0.196589985	0.245079834	-0.445031072	0.01	1.474311449	-3.465511028	-1.692036774	-2.686623858	-0.838566922	0.199515634	1.128812548	-3.787968942	1.34009286
RASSF6	-1.106108086	3.20829671	1.729085664	0	-1.574635585	3.38102724	-5.825209437	-1.202902175	-4.821602552	-4.646303371	0.834037456	-2.138672717	0.01	1.55609037	3.274781776
NPFFR2	0.243361351	-3.64095024	0.01	-3.122170353	4.016079557	4.202946783	-1.269304365	0.01	0.01	0.01	0.01	-2.904708323	0.01	0.01	-4.818526108
GC	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
AMTN	0.01	0.01	0.01	0.01	-1.745584602	0.01	-0.996060528	0.818863431	0.01	0.01	0.01	0.01	0.01	0.01	0.01
EPHA5	-2.814595225	3.159983213	-3.935123542	-3.287046507	4.391943676	-4.304776433	3.522924364	2.860570542	4.465732482	-2.139806422	-2.506732503	-4.069539236	0.5298017	0.839750086	3.331718665
REST	-0.291016039	-3.156684312	-4.870969082	1.674364971	-1.165250812	-0.4679987	-1.370026059	1.837262995	-3.366462716	0.223898301	-1.00199578	-1.005407396	0.922009851	-1.122562313	1.868626217
NMU	0.01	0.01	-1.210612272	0.01	0.01	-0.580265163	3.962756949	0.01	-1.706164013	0.691599696	-0.267611308	0.391937628	0.01	0.367851096	2.989009605
KIT	1.759657326	-1.568958514	-1.382808397	1.730356269	0.119814894	1.490093127	4.44908398	-0.724473504	-2.13102259	-0.212621076	0.012112256	-1.265680314	2.044383762	-0.531282683	0.051577382
PDGFRA	1.947591364	0.763392141	-3.231694963	-3.343717554	1.501641594	-4.700146928	2.580363322	0.194886342	-2.055400874	-1.055563684	-5.066607779	1.833052399	-1.407397831	-2.107415853	-0.522188154
RASL11B	0.497708625	-0.904556515	-1.412427244	1.373203023	-1.590478171	-1.045047488	3.024011639	-0.026091867	2.270047542	0.752863128	-2.113270937	-0.131799611	1.848440316	-0.383254686	-2.323184966
CWH43	0.01	2.871952929	1.327544487	0.01	-1.505929549	-1.212084959	0.828557026	1.643525132	0.01	-1.162461909	1.171027979	0.023258745	-0.346970682	0.321155508	-0.30564178
NIPAL1	-1.844353762	-1.028078821	-0.157451331	-0.246357424	-2.40601782	-0.527104222	-1.656493746	3.406392579	0.01	0.259316167	2.0485626	-1.876829526	-0.247146668	-2.163895264	4.302036489
CNGA1	-0.560819716	-0.914604114	1.956067826	1.452184369	-0.707439966	-2.998623161	1.916477351	2.593941487	0.01	1.050961297	0.664619315	0.01	2.510291168	2.375881048	-3.092350463
GABRA4	0.01	2.080887789	-0.218359481	6.247357786	0.01	0.01	2.674904431	1.097555173	0.01	-2.123458331	0.01	-1.937737676	0.01	3.924901722	0.01
GABRA2	0.071324378	-0.282460021	1.588222224	0.236319866	-0.338317222	0.01	-1.910799584	0.01	0.01	0.01	-0.205778969	-0.546172863	0.01	2.7516779	3.494132926
SHISA3	2.457407211	2.442162795	2.39527255	-0.693564813	0.745088584	2.709585389	2.39874882	-1.651348379	-5.270174426	-0.550473802	2.560669158	-2.172099929	4.352460121	5.317582098	0.73165843
NSUN7	-0.80956161	0.176521744	0.336676117	-0.096120683	1.559541642	-1.755391523	-1.036805441	1.193189128	-2.033237292	1.61600094	1.974055722	2.912758647	3.515532691	0.958254417	-2.171004247
TMEM156	-2.031954031	-2.478840133	0.427443409	-0.649721623	0.436158834	-0.884662558	-3.429122864	1.83704475	2.724190223	-0.3116509	1.778429094	-0.949039805	-1.019742892	-1.292707936	-0.552122165
ARAP2	2.559349743	-0.42124142	0.082867355	-1.050368015	1.844820422	-3.542625759	-1.634582047	0.54064381	-2.424549578	-1.675007823	0.703943444	-1.426084352	-2.340669506	-0.227742242	-0.483394444
PCDH7	-0.431864052	0.746087271	2.756209503	-2.067960406	5.130993122	-3.808144076	4.424920076	-1.01407918	-3.027101482	-1.436756938	3.327823701	-0.03898032	-0.645538878	4.209632885	0.693084343
KCNIP4	-1.233307193	3.243577382	0.565705332	0.96835246	1.317262597	-0.807160613	-1.066901511	-0.536662884	-1.485559029	-0.039223225	-0.082154358	3.076065891	-1.264169676	3.129414704	0.112170112
SLIT2	1.56191646	-0.357250631	-3.946006802	0.402526136	-0.287591298	-3.093236843	-2.637694295	0.861760213	-2.634137214	-0.236427311	0.050077602	-2.495490156	0.745691066	1.930150213	1.489500732
FAM184B	-1.963415751	0.278350211	-0.501665938	0.141107585	-1.928145486	0.01	-0.455646128	-1.438932034	-2.64429406	0.37034932	1.011231542	1.888408497	0.208943438	0.370824587	2.410729842
PROM1	0.01	2.574899067	1.275631189	0.186789538	-0.387886908	0.01	4.13415002	-0.40846666	1.480611289	-1.629447053	3.356129973	-2.443726399	6.52137913	0.854115164	0.01
CD38	-1.070649825	0.01	0.375132873	-0.436165435	-0.245280253	-2.038830912	1.171567687	-2.768387227	-0.579733353	-0.819476923	-1.655877732	-0.481746015	0.147999073	-0.768817729	-0.547613402
HS3ST1	0.246905825	2.57100162	2.880457553	-0.354474244	0.351711164	-0.074783444	1.65404906	-0.203834536	1.922743918	-0.124865726	-0.130185794	-1.492071595	0.857251375	2.882559782	0.673370439
MSX1	-1.406156763	1.959424794	1.596242285	0.152666073	-1.054601256	-3.186982418	0.290919797	-0.382500187	4.8868399	-0.028999365	-1.688515972	0.114293035	-1.024377219	1.507075135	0.401122887
CYTL1	-2.446163942	-0.144583186	0.82560091	1.566834192	-0.422840521	-1.533350369	1.46407956	-0.826750586	0.230620279	-2.111918175	-1.045171448	1.936301575	1.510901362	2.366210621	0.092822883
STK32B	-0.989856126	1.188872306	1.735084981	0.303255382	1.435569692	0.549749917	4.292946292	-1.546531054	1.108394073	-2.556070262	1.62961214	-0.829778607	-1.392677787	1.911045223	1.934075356
EVC2	1.28618707	-0.357089548	0.150988664	-0.200889832	2.347857161	-2.803566859	1.092536017	-0.696562001	-2.34446723	-1.474009148	-0.058013972	0.178850737	-3.161040416	1.051423761	-0.245214915
JAKMIP1	1.486622236	-4.100264757	-4.09396081	-7.245822062	1.325481621	2.176723258	0.80636123	-7.362981613	-2.37496353	-9.699469787	-0.641943455	-2.790397435	-1.247409477	-1.661305016	-4.06131784
SORCS2	-1.861193552	2.084248104	2.42254838	-0.147752626	0.384526092	-3.643515604	5.922778312	1.853051334	-1.184407675	-1.941980861	2.403209974	-0.434328722	1.128297197	0.956660722	2.226896708
CPZ	1.539819677	2.634510688	-1.358345834	-2.880157164	1.674504432	-5.482956099	-3.442314114	-2.404978813	-1.564269804	-1.345906529	-1.585254674	1.729641678	-1.447975296	-1.212799718	-1.876112541
HMX1	-1.503717528	1.312519732	1.183143687	0.01	-1.065381587	0.01	7.72304996	0.01	-1.312366838	0.01	-0.610836898	-1.536193293	0.01	1.176699569	-0.865093818
ADRA2C	0.791673221	-0.595452792	-0.065842101	1.284198736	-0.466289907	-4.34235811	-1.664409355	0.098098163	0.619281077	-1.177399974	0.725157838	2.661038508	-0.062367663	1.87255831	0.45472076
.01T8L	0.680231323	0.703483975	1.687025777	-3.002371862	1.049171767	-2.636758231	-2.596266884	1.851827907	-0.428716931	1.857475756	0.236548189	-0.713526281	-1.482335163	0.872730454	1.450528665
GAL3ST1	-0.86282418	1.467902892	4.524413157	2.043252347	0.01	-1.353005387	-2.482394912	-1.082464305	-2.478904237	-1.888451346	2.977544967	0.104585453	0.01	4.313942395	1.138255902
SEC14L4	0.01	0.01	0.01	-1.214486393	0.01	-1.495252026	0.01	-1.224516147	0.01	0.01	3.328443175	0.325054178	0.01	-1.54697406	-1.588979328
SEC14L2	-2.717089159	1.508041637	1.832054252	-0.34322561	0.08611639	-0.246524908	-2.242425354	0.953001065	-1.672573637	0.724023336	0.55456369	1.640441131	-1.140070051	2.391968201	0.376632612
OSM	-4.480107599	0.473513328	-1.793344296	0.992285972	2.305173393	-3.484839059	-3.292353739	-0.799324764	0.497807404	-0.932902668	-4.909261218	2.330264723	-0.74547124	-3.121724751	2.291780427
LIF	-2.020666179	1.017878736	1.151560907	2.074125494	3.30521866	-2.195327193	-2.417839434	-1.117450808	3.10300204	-0.975933266	-2.034711183	1.698083986	-1.745428712	0.42521733	4.71237592
CABP7	-1.695837594	-0.410943188	-0.502073483	2.252662356	-1.502720158	-2.557505212	3.503767119	-2.26024226	3.920546392	-2.501283497	-0.042988028	5.798607232	-2.679091802	0.423918373	-3.664868388
EMID1	-1.626883368	-0.201520592	2.137276181	1.386112303	-2.678851761	-2.384963497	0.897419202	1.300573619	-0.4355298	0.13015425	0.687093747	0.95774624	-0.664431464	0.125013685	-0.102820068
PGAM2	1.395464973	0.603109861	-3.333596635	1.921943499	0.429845561	0.588726756	0.506180442	-2.876296596	2.918754234	-0.386581457	2.22930294	2.214917654	1.870849582	-1.827602447	-3.538602506
GCK	-0.577705875	-0.346516304	1.167997519	2.079152872	-1.916931945	-2.845485184	0.41743162	-2.574944101	-0.649386211	-2.380931142	1.122490554	1.014220869	4.141863819	1.132393063	-1.524153631
IGFBP1	-1.881291669	1.256851078	2.390545786	1.301696393	-0.85786266	-0.148951379	1.628496442	0.706498954	-1.689940979	-0.514525587	-1.573445004	1.256127408	0.01	0.01	2.801700332
IGFBP3	-1.209395566	2.503876843	-0.024742147	-0.181775048	1.820003882	-0.594303558	-1.170077843	1.695981682	1.398782546	2.673339834	-0.570880741	2.248058024	-2.700528074	-0.146922892	2.239661143
VWC2	0.01	1.768707251	3.497343833	2.357877664	0.01	0.01	2.663900673	0.01	0.01	-0.680745087	-1.739664503	0.504930328	5.02546188	3.563641231	2.913015066
COBL	-2.273071141	2.177646265	3.232489326	1.036699155	-1.108474552	-0.054126264	4.348406624	-3.025213639	-4.83660256	-4.246252871	1.727000937	-0.750676317	2.166640682	4.102222796	1.651310845
EGFR	0.610119309	-2.775369133	-2.641674425	3.983314473	-1.43068686	1.719552841	2.939672576	-0.003806406	-3.722103083	1.482970042	-1.283629924	3.600708304	-0.792708506	-0.618384093	2.631642973
BCL11A	0.01	3.51650627	2.53520465	1.384497361	-4.053103786	0.418717949	0.01	0.818726539	1.592298775	0.522915068	1.998327825	2.546370452	3.041181165	2.291137163	-0.087387188
